cidade,media_quantidade_produzida_soja
Agudo,890.5333333333333
Cacapava do Sul,0.0
Cacequi,26688.033333333333
Cachoeira do Sul,154453.03333333333
Capao do Cipo,0.0
Cerro Branco,1195.6
Dilermando de Aguiar,26455.433333333334
Dona Francisca,537.3333333333334
Faxinal do Soturno,2109.733333333333
Formigueiro,8284.333333333334
Itaara,6047.033333333334
Itacurubi,11983.3
Ivora,0.0
Jaguari,10029.666666666666
Jari,66523.7
Julio de Castilhos,0.0
Lavras do Sul,25231.9
Mata,2871.3
Nova Esperanca do Sul,0.0
Nova Palma,13431.7
Novo Cabrais,7745.166666666667
Paraiso do Sul,0.0
Pinhal Grande,34070.9
Quevedos,47735.73333333333
Restinga Seca,0.0
Santa Margarida do Sul,39392.73333333333
Santa Maria,67734.23333333334
Santana da Boa Vista,28267.633333333335
Santiago,58064.63333333333
Sao Francisco de Assis,0.0
Sao Gabriel,0.0
Sao Joao do Polesine,0.0
Sao Martinho da Serra,0.0
Sao Pedro do Sul,0.0
Sao Sepe,0.0
Sao Vicente do Sul,0.0
Silveira Martins,6559.666666666667
Toropi,1892.2333333333333
Unistalda,10438.466666666667
Vila Nova do Sul,11176.2
