cidade,media_rendimento_medio_soja
Agudo,1956.65
Cacapava do Sul,0.0
Cacequi,1812.0
Cachoeira do Sul,2191.95
Capao do Cipo,0.0
Cerro Branco,2395.5
Dilermando de Aguiar,2356.0
Dona Francisca,2350.95
Faxinal do Soturno,2163.0
Formigueiro,1937.8
Itaara,2907.5
Itacurubi,1680.0
Ivora,0.0
Jaguari,1906.7
Jari,2404.05
Julio de Castilhos,0.0
Lavras do Sul,2170.15
Mata,2053.15
Nova Esperanca do Sul,0.0
Nova Palma,2521.5
Novo Cabrais,2293.9
Paraiso do Sul,0.0
Pinhal Grande,2524.7
Quevedos,2562.15
Restinga Seca,0.0
Santa Margarida do Sul,1982.25
Santa Maria,2460.25
Santana da Boa Vista,2228.25
Santiago,2069.75
Sao Francisco de Assis,0.0
Sao Gabriel,0.0
Sao Joao do Polesine,0.0
Sao Martinho da Serra,0.0
Sao Pedro do Sul,0.0
Sao Sepe,0.0
Sao Vicente do Sul,0.0
Silveira Martins,3043.5
Toropi,2098.0
Unistalda,1905.3
Vila Nova do Sul,1871.5
